variant,strategy,eval_start,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,UpCap,DnCap,Turnover/yr,AvgExp
ma200,trend_ma200,1988-10-14,10.13%,11.76%,0.633,0.887,-20.73%,0.489,68.82%,66.50%,5.98,0.787
ma200,buy&hold,1988-10-14,11.49%,17.87%,0.536,0.763,-55.25%,0.208,99.99%,100.00%,0.03,1.000
ma200,ee(0.787),1988-10-14,9.90%,14.07%,0.536,0.764,-45.74%,0.216,77.56%,80.20%,0.34,0.787
tsmom12,trend_tsmom12,1988-12-30,11.05%,13.35%,0.638,0.888,-31.32%,0.353,77.62%,74.13%,2.75,0.830
tsmom12,buy&hold,1988-12-30,11.51%,17.90%,0.538,0.766,-55.25%,0.208,100.00%,99.92%,0.03,1.000
tsmom12,ee(0.830),1988-12-30,10.25%,14.86%,0.538,0.766,-47.78%,0.214,81.97%,84.28%,0.29,0.830
