variant,strategy,eval_start,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,UpCap,DnCap,Turnover/yr,AvgExp
credit,vol_credit,1988-12-29,8.38%,10.61%,0.541,0.763,-30.81%,0.272,57.36%,59.03%,7.54,0.661
credit,buy&hold,1988-12-29,11.49%,17.89%,0.537,0.765,-55.25%,0.208,99.90%,100.00%,0.03,1.000
credit,ee(0.661),1988-12-29,8.89%,11.84%,0.537,0.766,-39.46%,0.225,64.86%,67.75%,0.44,0.661
